NODES,,,,,,,,,,,,,,,,,,,,,
ID,X,Y,Z,,,,,,,,,,,,,,,,,,
1,0,0,6000,,,,,,,,,,,,,,,,,,
2,1500,1500,8121.3,,,,,,,,,,,,,,,,,,
3,0,1500,8121.3,,,,,,,,,,,,,,,,,,
4,0,0,8121.3,,,,,,,,,,,,,,,,,,
5,1500,0,8121.3,,,,,,,,,,,,,,,,,,
6,3000,0,6000,,,,,,,,,,,,,,,,,,
7,4500,1500,8121.3,,,,,,,,,,,,,,,,,,
8,4500,0,8121.3,,,,,,,,,,,,,,,,,,
9,6000,0,6000,,,,,,,,,,,,,,,,,,
10,7500,1500,8121.3,,,,,,,,,,,,,,,,,,
11,7500,0,8121.3,,,,,,,,,,,,,,,,,,
12,9000,0,6000,,,,,,,,,,,,,,,,,,
13,10500,1500,8121.3,,,,,,,,,,,,,,,,,,
14,10500,0,8121.3,,,,,,,,,,,,,,,,,,
15,12000,0,6000,,,,,,,,,,,,,,,,,,
16,13500,1500,8121.3,,,,,,,,,,,,,,,,,,
17,13500,0,8121.3,,,,,,,,,,,,,,,,,,
18,15000,0,6000,,,,,,,,,,,,,,,,,,
19,15000,1500,8121.3,,,,,,,,,,,,,,,,,,
20,15000,0,8121.3,,,,,,,,,,,,,,,,,,
21,0,3000,6000,,,,,,,,,,,,,,,,,,
22,1500,4500,8121.3,,,,,,,,,,,,,,,,,,
23,0,4500,8121.3,,,,,,,,,,,,,,,,,,
24,3000,3000,6000,,,,,,,,,,,,,,,,,,
25,4500,4500,8121.3,,,,,,,,,,,,,,,,,,
26,6000,3000,6000,,,,,,,,,,,,,,,,,,
27,7500,4500,8121.3,,,,,,,,,,,,,,,,,,
28,9000,3000,6000,,,,,,,,,,,,,,,,,,
29,10500,4500,8121.3,,,,,,,,,,,,,,,,,,
30,12000,3000,6000,,,,,,,,,,,,,,,,,,
31,13500,4500,8121.3,,,,,,,,,,,,,,,,,,
32,15000,3000,6000,,,,,,,,,,,,,,,,,,
33,15000,4500,8121.3,,,,,,,,,,,,,,,,,,
34,0,6000,6000,,,,,,,,,,,,,,,,,,
35,1500,7500,8121.3,,,,,,,,,,,,,,,,,,
36,0,7500,8121.3,,,,,,,,,,,,,,,,,,
37,3000,6000,6000,,,,,,,,,,,,,,,,,,
38,4500,7500,8121.3,,,,,,,,,,,,,,,,,,
39,6000,6000,6000,,,,,,,,,,,,,,,,,,
40,7500,7500,8121.3,,,,,,,,,,,,,,,,,,
41,9000,6000,6000,,,,,,,,,,,,,,,,,,
42,10500,7500,8121.3,,,,,,,,,,,,,,,,,,
43,12000,6000,6000,,,,,,,,,,,,,,,,,,
44,13500,7500,8121.3,,,,,,,,,,,,,,,,,,
45,15000,6000,6000,,,,,,,,,,,,,,,,,,
46,15000,7500,8121.3,,,,,,,,,,,,,,,,,,
47,0,9000,6000,,,,,,,,,,,,,,,,,,
48,1500,10500,8121.3,,,,,,,,,,,,,,,,,,
49,0,10500,8121.3,,,,,,,,,,,,,,,,,,
50,3000,9000,6000,,,,,,,,,,,,,,,,,,
51,4500,10500,8121.3,,,,,,,,,,,,,,,,,,
52,6000,9000,6000,,,,,,,,,,,,,,,,,,
53,7500,10500,8121.3,,,,,,,,,,,,,,,,,,
54,9000,9000,6000,,,,,,,,,,,,,,,,,,
55,10500,10500,8121.3,,,,,,,,,,,,,,,,,,
56,12000,9000,6000,,,,,,,,,,,,,,,,,,
57,13500,10500,8121.3,,,,,,,,,,,,,,,,,,
58,15000,9000,6000,,,,,,,,,,,,,,,,,,
59,15000,10500,8121.3,,,,,,,,,,,,,,,,,,
60,0,12000,6000,,,,,,,,,,,,,,,,,,
61,1500,13500,8121.3,,,,,,,,,,,,,,,,,,
62,0,13500,8121.3,,,,,,,,,,,,,,,,,,
63,3000,12000,6000,,,,,,,,,,,,,,,,,,
64,4500,13500,8121.3,,,,,,,,,,,,,,,,,,
65,6000,12000,6000,,,,,,,,,,,,,,,,,,
66,7500,13500,8121.3,,,,,,,,,,,,,,,,,,
67,9000,12000,6000,,,,,,,,,,,,,,,,,,
68,10500,13500,8121.3,,,,,,,,,,,,,,,,,,
69,12000,12000,6000,,,,,,,,,,,,,,,,,,
70,13500,13500,8121.3,,,,,,,,,,,,,,,,,,
71,15000,12000,6000,,,,,,,,,,,,,,,,,,
